Tipo de edificación;Régimen de tenencia;periodo;Total
Total;Total;2020;18754,8
Total;Total;2019;18625,7
Total;Total;2018;18535,9
Total;Total;2017;18472,8
Total;Total;2016;18406,1
Total;Total;2015;18346,2
Total;Total;2014;18303,1
Total;Total;2013;18217,3
Total;Propia por compra, totalmente pagada, heredada o donada;2020;9212,4
Total;Propia por compra, totalmente pagada, heredada o donada;2019;9153,9
Total;Propia por compra, totalmente pagada, heredada o donada;2018;9104,6
Total;Propia por compra, totalmente pagada, heredada o donada;2017;9005,6
Total;Propia por compra, totalmente pagada, heredada o donada;2016;8963,7
Total;Propia por compra, totalmente pagada, heredada o donada;2015;8975
Total;Propia por compra, totalmente pagada, heredada o donada;2014;8885
Total;Propia por compra, totalmente pagada, heredada o donada;2013;8893,1
Total;Propia con pagos pendientes;2020;5201,2
Total;Propia con pagos pendientes;2019;5031,7
Total;Propia con pagos pendientes;2018;5119,4
Total;Propia con pagos pendientes;2017;5169
Total;Propia con pagos pendientes;2016;5306,9
Total;Propia con pagos pendientes;2015;5199,8
Total;Propia con pagos pendientes;2014;5396,3
Total;Propia con pagos pendientes;2013;5485,9
Total;Alquilada;2020;3244,4
Total;Alquilada;2019;3401,2
Total;Alquilada;2018;3291,3
Total;Alquilada;2017;3330,9
Total;Alquilada;2016;3190,6
Total;Alquilada;2015;3203,5
Total;Alquilada;2014;3044,5
Total;Alquilada;2013;2939,4
Vivienda unifamiliar independiente;Total;2020;2576
Vivienda unifamiliar independiente;Total;2019;2542,5
Vivienda unifamiliar independiente;Total;2018;2576,2
Vivienda unifamiliar independiente;Total;2017;2520
Vivienda unifamiliar independiente;Total;2016;2498
Vivienda unifamiliar independiente;Total;2015;2446,6
Vivienda unifamiliar independiente;Total;2014;2719,5
Vivienda unifamiliar independiente;Total;2013;2862,8
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2020;1729,6
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2019;1712
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2018;1724,8
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2017;1688,9
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2016;1666,3
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2015;1636
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2014;1826
Vivienda unifamiliar independiente;Propia por compra, totalmente pagada, heredada o donada;2013;1937,2
Vivienda unifamiliar independiente;Propia con pagos pendientes;2020;537,9
Vivienda unifamiliar independiente;Propia con pagos pendientes;2019;527,8
Vivienda unifamiliar independiente;Propia con pagos pendientes;2018;546,6
Vivienda unifamiliar independiente;Propia con pagos pendientes;2017;524,9
Vivienda unifamiliar independiente;Propia con pagos pendientes;2016;553,9
Vivienda unifamiliar independiente;Propia con pagos pendientes;2015;508,1
Vivienda unifamiliar independiente;Propia con pagos pendientes;2014;582,1
Vivienda unifamiliar independiente;Propia con pagos pendientes;2013;621,1
Vivienda unifamiliar independiente;Alquilada;2020;140,2
Vivienda unifamiliar independiente;Alquilada;2019;128,2
Vivienda unifamiliar independiente;Alquilada;2018;144,7
Vivienda unifamiliar independiente;Alquilada;2017;150,4
Vivienda unifamiliar independiente;Alquilada;2016;145,2
Vivienda unifamiliar independiente;Alquilada;2015;152,5
Vivienda unifamiliar independiente;Alquilada;2014;149,7
Vivienda unifamiliar independiente;Alquilada;2013;146
Vivienda unifamiliar adosada o pareada;Total;2020;3371
Vivienda unifamiliar adosada o pareada;Total;2019;3376,5
Vivienda unifamiliar adosada o pareada;Total;2018;3325,8
Vivienda unifamiliar adosada o pareada;Total;2017;3312,5
Vivienda unifamiliar adosada o pareada;Total;2016;3415,3
Vivienda unifamiliar adosada o pareada;Total;2015;3518,6
Vivienda unifamiliar adosada o pareada;Total;2014;3312,2
Vivienda unifamiliar adosada o pareada;Total;2013;2985,5
Vivienda unifamiliar adosada o pareada;Propia por compra, totalmente pagada, heredada o donada;2020;1824
Vivienda unifamiliar adosada o pareada;Propia por compra, totalmente pagada, heredada o donada;2019;1871,8
