periodo,valor
2022M10,41.022
2022M09,44.119
2022M08,36.721
2022M07,35.918
2022M06,42.767
2022M05,44.165
2022M04,33.423
2022M03,43.378
2022M02,36.537
2022M01,36.185
2021M12,32.984
2021M11,35.970
2021M10,36.147
2021M09,42.408
2021M08,33.243
2021M07,35.123
2021M06,38.180
2021M05,35.418
2021M04,31.976
2021M03,36.770
2021M02,31.870
2021M01,27.969
2020M12,26.688
2020M11,29.185
2020M10,28.351
2020M09,26.975
2020M08,19.838
2020M07,25.821
2020M06,26.890
2020M05,25.630
2020M04,24.155
2020M03,27.300
2020M02,36.702
2020M01,40.217
2019M12,30.661
2019M11,29.464
2019M10,30.028
2019M09,22.696
2019M08,20.526
2019M07,33.765
2019M06,30.642
2019M05,35.280
2019M04,29.219
2019M03,30.908
2019M02,31.054
2019M01,37.048
2018M12,21.177
2018M11,29.283
2018M10,30.339
2018M09,32.870
2018M08,29.090
2018M07,29.480
2018M06,30.671
2018M05,31.366
2018M04,29.050
2018M03,26.527
2018M02,28.400
2018M01,30.073
2017M12,20.749
2017M11,25.257
2017M10,25.217
2017M09,29.638
2017M08,26.924
2017M07,25.545
2017M06,29.439
2017M05,29.041
2017M04,21.400
2017M03,27.805
2017M02,24.549
2017M01,27.279
2016M12,20.682
2016M11,25.826
2016M10,22.828
2016M09,26.915
2016M08,20.593
2016M07,18.707
2016M06,25.342
2016M05,26.558
2016M04,23.873
2016M03,23.065
2016M02,25.023
2016M01,23.295
2015M12,19.404
2015M11,19.224
2015M10,19.326
2015M09,24.237
2015M08,19.375
2015M07,21.978
2015M06,21.887
2015M05,19.815
2015M04,18.949
2015M03,20.068
2015M02,21.464
2015M01,21.040
2014M12,15.995
2014M11,16.540
2014M10,17.919
2014M09,19.820
2014M08,15.321
2014M07,17.949
2014M06,16.987
2014M05,17.790
2014M04,15.528
2014M03,16.545
2014M02,16.479
2014M01,17.429
2013M12,12.382
2013M11,13.926
2013M10,14.984
2013M09,14.888
2013M08,12.146
2013M07,14.055
2013M06,14.402
2013M05,18.604
2013M04,17.698
2013M03,16.301
2013M02,24.494
2013M01,25.823
2012M12,17.648
2012M11,19.183
2012M10,19.150
2012M09,21.500
2012M08,20.853
2012M07,24.035
2012M06,24.308
2012M05,25.946
2012M04,21.367
2012M03,24.679
2012M02,26.169
2012M01,29.035
2011M12,24.330
2011M11,27.938
2011M10,22.317
2011M09,31.284
2011M08,29.502
2011M07,29.458
2011M06,32.533
2011M05,37.440
2011M04,31.275
2011M03,42.982
2011M02,49.892
2011M01,49.510
2010M12,39.205
2010M11,43.797
2010M10,39.326
2010M09,53.127
2010M08,50.142
2010M07,55.709
2010M06,56.734
2010M05,55.489
2010M04,50.779
2010M03,54.135
2010M02,55.194
2010M01,53.898
2009M12,47.438
2009M11,51.769
2009M10,52.250
2009M09,62.971
2009M08,51.970
2009M07,59.605
2009M06,61.832
2009M05,57.438
2009M04,50.266
2009M03,52.268
2009M02,50.535
2009M01,52.547
2008M12,48.490
2008M11,51.104
2008M10,63.949
2008M09,66.239
2008M08,56.020
2008M07,72.813
2008M06,68.475
2008M05,77.157
2008M04,86.127
2008M03,70.210
2008M02,81.997
2008M01,93.838
2007M12,71.794
2007M11,93.262
2007M10,97.586
2007M09,102.131
2007M08,90.763
2007M07,104.808
2007M06,111.139
2007M05,118.669
2007M04,97.492
2007M03,116.651
2007M02,109.769
2007M01,124.826
2006M12,86.607
2006M11,111.523
2006M10,111.393
2006M09,114.685
2006M08,98.384
2006M07,107.143
2006M06,123.081
2006M05,126.137
2006M04,97.124
2006M03,127.233
2006M02,114.617
2006M01,124.244
2005M12,97.380
2005M11,107.327
2005M10,102.511
2005M09,129.128
2005M08,91.499
2005M07,97.465
2005M06,112.619
2005M05,108.144
2005M04,108.238
2005M03,97.164
2005M02,101.882
2005M01,104.256
2004M12,83.547
2004M11,92.631
2004M10,89.592
2004M09,98.872
2004M08,83.484
2004M07,93.946
2004M06,98.239
2004M05,98.993
2004M04,85.190
2004M03,98.670
2004M02,92.586
2004M01,91.914
2003M12,72.502
2003M11,78.483
2003M10,90.806
2003M09,86.018
2003M08,67.572
2003M07,83.387
2003M06,82.968
2003M05,86.628
2003M04,77.475
2003M03,85.577
2003M02,88.381
2003M01,89.642
