Belgium,Bulgaria,Czechia,Denmark,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Türkiye
37.2,48.2,28.2,34.7,27.9,21.3,53.0,44.7,16.2,40.5,34.2,19.9,18.1,55.7,17.1,38.5,21.1,19.7,17.3,27.1,35.8,72.7,26.6,15.1,11.8,17.3,18.1,29.8,16.6,23.8,-,58.8,-,-,37.4
34.0,36.3,32.7,37.1,25.6,16.6,58.3,42.3,16.2,49.8,34.2,17.7,17.1,23.5,21.4,37.3,25.9,23.2,15.5,28.5,35.2,54.4,25.8,12.9,15.0,18.1,17.9,28.7,15.2,25.3,55.1,62.4,-,62.4,44.4
38.1,40.8,29.9,32.9,32.3,19.1,87.5,47.5,15.8,41.3,32.4,19.3,15.1,37.3,26.3,41.4,22.6,24.8,15.6,25.5,33.8,42.0,27.4,14.9,16.8,17.7,18.6,34.2,17.3,34.6,56.4,64.0,-,67.5,39.4
33.7,30.8,31.0,31.9,42.3,17.7,86.8,43.3,14.9,36.4,32.7,19.7,13.6,30.3,23.2,32.4,14.6,25.0,15.3,26.3,35.4,45.7,25.9,8.4,16.7,18.7,19.5,36.2,17.2,37.1,59.1,43.8,-,65.5,36.1
36.0,50.4,29.3,31.6,28.5,19.3,84.6,43.0,16.5,45.2,32.2,18.1,13.0,48.3,25.0,36.6,22.3,28.0,15.6,24.5,31.9,36.3,29.0,13.9,14.6,18.0,16.9,33.6,18.2,35.4,60.0,29.0,-,70.3,34.4
34.9,51.0,28.3,31.7,26.6,21.5,83.9,42.1,14.7,48.6,28.2,14.2,11.2,42.5,26.0,30.6,13.9,26.2,15.5,23.6,28.2,60.4,24.3,20.9,13.0,19.3,21.1,32.3,19.6,38.6,52.0,56.2,41.5,63.5,32.4
34.8,50.1,27.9,28.9,25.5,14.3,83.1,38.1,14.9,32.1,29.1,11.3,11.5,30.9,30.2,46.9,12.1,25.6,14.5,26.4,25.8,46.3,21.7,19.2,15.2,18.8,17.4,35.4,19.4,37.7,51.7,38.1,32.7,71.0,32.1
30.5,41.0,24.1,30.7,28.1,17.8,83.2,37.4,17.7,35.7,29.2,12.3,8.3,21.9,30.6,22.4,17.6,27.0,14.8,26.9,26.3,39.8,19.4,16.4,13.1,19.8,-,32.9,20.6,-,40.8,61.9,35.0,56.3,33.0
29.4,44.8,25.8,25.2,36.5,16.7,79.2,35.9,18.2,20.9,28.1,10.5,13.5,19.5,26.3,46.4,13.3,22.8,12.7,19.7,19.7,41.9,18.6,15.9,14.2,18.0,-,30.9,20.0,-,46.7,36.0,27.1,62.3,29.2
30.1,45.4,26.1,30.3,26.1,10.6,74.6,40.9,-,19.5,26.2,15.3,10.7,12.4,15.0,14.2,13.6,48.3,13.1,20.7,26.9,39.3,17.6,-,12.8,18.8,-,-,-,-,-,-,-,-,-
