tipo_edif,regimen_ten,periodo,total
Total,Total,2020,18754800.0
Total,Total,2019,18625700.0
Total,Total,2018,18535900.0
Total,Total,2017,18472800.0
Total,Total,2016,18406100.0
Total,Total,2015,18346200.0
Total,Total,2014,18303100.0
Total,Total,2013,18217300.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2020,9212400.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2019,9153900.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2018,9104600.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2017,9005600.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2016,8963700.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2015,8975000.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2014,8885000.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2013,8893100.0
Total,Propia con pagos pendientes,2020,5201200.0
Total,Propia con pagos pendientes,2019,5031700.0
Total,Propia con pagos pendientes,2018,5119400.0
Total,Propia con pagos pendientes,2017,5169000.0
Total,Propia con pagos pendientes,2016,5306900.0
Total,Propia con pagos pendientes,2015,5199800.0
Total,Propia con pagos pendientes,2014,5396300.0
Total,Propia con pagos pendientes,2013,5485900.0
Total,Alquilada,2020,3244400.0
Total,Alquilada,2019,3401200.0
Total,Alquilada,2018,3291300.0
Total,Alquilada,2017,3330900.0
Total,Alquilada,2016,3190600.0
Total,Alquilada,2015,3203500.0
Total,Alquilada,2014,3044500.0
Total,Alquilada,2013,2939400.0
Vivienda unifamiliar independiente,Total,2020,2576000.0
Vivienda unifamiliar independiente,Total,2019,2542500.0
Vivienda unifamiliar independiente,Total,2018,2576200.0
Vivienda unifamiliar independiente,Total,2017,2520000.0
Vivienda unifamiliar independiente,Total,2016,2498000.0
Vivienda unifamiliar independiente,Total,2015,2446600.0
Vivienda unifamiliar independiente,Total,2014,2719500.0
Vivienda unifamiliar independiente,Total,2013,2862800.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2020,1729600.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2019,1712000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2018,1724800.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2017,1688900.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2016,1666300.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2015,1636000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2014,1826000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2013,1937200.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2020,537900.0
